source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
M-TP,,2020-03-03 12:00:00,"Hãy khui theo Tùng nào Skyyyy ơi!!! Ai khui thì giơ tay 🖐 👉 Đếm ngược tới 0 giờ, 06/03 để khui cùng nhau nha! Hẹn giờ ngay kẻo lỡ 🤘 💬 Có ai đoán được Tùng khui gì không nào?!?! #SonTungMTP #Khui #KhuiGiVuiThe",M-TP và 105K người khác,68K,"3,3K",33K,333,89,15,11.781 bình luậ,3345948562085490,/story.php?story_fbid=3345948562085490&id=309972372349806
M-TP,,2020-03-01 11:39:48,📷📷📷 🥂🥂🥂 💋💋💋,M-TP và 454K người khác,330K,"5,2K",117K,1K,341,77,27.440 bình luậ,3341220019225011,/story.php?story_fbid=3341220019225011&id=309972372349806
M-TP,,2020-02-27 20:00:26,❤️❤️❤️ 🌻🌻🌻 Ở nhà cuồng chân nên lên kế hoạch cho một mùa hè ngao du khắp Việt Nam mình..!!! Chỉ chờ ngày nắng đẹp xua tan màn đêm..!!! I am readyyy!!! And youuuuu...??? Let’s hunt for experiences...!!!! #BitisHunter #NonstopHuntingforExperiences #SonTungMTP #DivaTraiNghiem,M-TP và 110K người khác,72K,"2,1K",34K,163,56,9,9.666 bình luậ,3334513866562293,/story.php?story_fbid=3334513866562293&id=309972372349806
M-TP,,2020-02-26 16:44:17,🌓🌓🌓,M-TP và 525K người khác,385K,"9,7K",126K,"2,6K",1K,137,32.755 bình luậ,3331847006828979,/story.php?story_fbid=3331847006828979&id=309972372349806
M-TP,,2020-02-18 12:17:41,🐡🐡🐡 💋💋💋,M-TP và 399K người khác,275K,6K,115K,"1,2K",358,65,31.152 bình luậ,3313030768710603,/story.php?story_fbid=3313030768710603&id=309972372349806
M-TP,,2020-02-13 20:22:16,🌻🌻🌻 🐡🐡🐡,M-TP và 266K người khác,184K,"3,5K",77K,428,182,32,22.179 bình luậ,3302256066454740,/story.php?story_fbid=3302256066454740&id=309972372349806
M-TP,,2020-01-27 14:03:35,"An old picture sent from my aunt!!! Look at his cheerful face 🤷🏻‍♂️🤷🏻‍♂️🤷🏻‍♂️ I bet that was how I felt when receiving a new gift from someone ... 🌻🌻🌻 Human nature never changes, So far I still grin from ear to ear when holding something new on my hands 😆😆😆",M-TP và 271K người khác,191K,15K,64K,458,142,14,17.737 bình luậ,3263540320326315,/story.php?story_fbid=3263540320326315&id=309972372349806
M-TP,,2020-01-25 01:08:21,"Chúc mừng năm mới 2020 !!!!!!! 🌻🌻🌻 Chúc cho mọi người sẽ có một năm mới tràn ngập hạnh phúc,tràn ngập niềm vui,tràn ngập may mắn trong cuộc sống cũng như trong công việc nhé và đặc biệt là phải có một sức khoẻ thật tốt để vượt qua mọi thử thách,mọi khó khăn đang chờ chúng ta ở phía trước ... Nhớ rằng có sức khoẻ là có tất cả nhaaa ! 🍾🍾🍾 Chúc cho chúng ta sẽ có một năm thật thăng hoaaaaaaaaa !!!!! ❤️❤️❤️ Happy lunar new year￼ !!!!",M-TP và 584K người khác,426K,"4,9K",152K,423,147,44,22.994 bình luậ,3257784687568545,/story.php?story_fbid=3257784687568545&id=309972372349806
M-TP,,2020-01-14 23:10:43,Singing in the house !!!! 🌻🌻🌻Đang hát trong nhà!!!! 🌻🌻🌻 ,M-TP và 312K người khác,199K,"4,9K",107K,686,435,57,22.526 bình luậ,3235409059806108,/story.php?story_fbid=3235409059806108&id=309972372349806
M-TP,,2020-01-13 12:07:42,"Cảm ơn Wechoice đã cho Tùng đi qua hàng ngàn những cảm xúc tuyệt vời đêm qua .... 🌻🌻🌻 Wechoice à ... Hãy luôn giữ vững ngọn lửa nhân văn này,nhân rộng và lan toả ra ngoài xa hội nhé ! Hãy cùng nhau tao nên một cuộc sống tràn ngập ánh sáng của niềm tin và yêu thương .... !!!! ❤️❤️❤️",M-TP và 152K người khác,99K,"2,3K",50K,164,65,9,16.045 bình luậ,3231810273499320,/story.php?story_fbid=3231810273499320&id=309972372349806
M-TP,,2020-01-12 14:34:29,HÀ NỘI đêm qua đẹp quá !!!!! ❤️❤️❤️ 🌻🌻🌻,M-TP và 190K người khác,128K,"2,8K",58K,235,136,17,16.557 bình luậ,3229542563726091,/story.php?story_fbid=3229542563726091&id=309972372349806
M-TP,,2020-01-11 14:56:41,Một câu chuyện tích cực và tràn đầy cảm hứng có thể thay đổi được hàng ngàn cuộc sống tiêu cực ngoài kia .... 🌻🌻🌻 #wechoice2019,M-TP và 86K người khác,59K,"1,6K",24K,91,67,11,7.445 bình luậ,3227032403977107,/story.php?story_fbid=3227032403977107&id=309972372349806
M-TP,,2020-01-07 19:09:05,What time are we going to school tomorrow morning ??? 😂😂😂 Really wanna go back in time when looking at this picture !!! 😆😆😆Sáng mai mấy giờ chúng ta đi học ??? 😂😂😂 Thật sự muốn quay ngược thời gian khi nhìn vào bức ảnh này !!! 😆😆😆,M-TP và 303K người khác,219K,11K,71K,462,336,52,24.850 bình luậ,3218069944873353,/story.php?story_fbid=3218069944873353&id=309972372349806
M-TP,,2020-01-05 13:31:12,Đà Nẵng đêm qua không thể tuyệt vời hơnnnnn 🙏🙏🙏 Chân thành cảm ơnnnnn 💋💋💋,M-TP và 243K người khác,164K,"4,5K",73K,371,178,19,19.402 bình luậ,3212746845405663,/story.php?story_fbid=3212746845405663&id=309972372349806
